,id,score,word_sent,total_time,date,attempts,time_find_word,length,vowels,win
1,62d2300c373d811b82ed9a75,0.6666666666666666,pastel,3.2729338289973384,2022-07-16T03:27:10.179413,2,2.150067575999856,6,2,True
2,62d2300c373d811b82ed9a75,1.0,mastil,3.2729338289973384,2022-07-16T03:27:10.899212,3,2.150067575999856,6,2,True
0,62d22f54373d811b82ed9a01,0.3333333333333333,contentos,2.3775113609990512,2022-07-16T03:24:04.830356,1,1.4082694470016577,9,3,True
1,62d22f54373d811b82ed9a01,1.0,cartwheel,2.3775113609990512,2022-07-16T03:24:05.474665,2,1.4082694470016577,9,3,True
0,62d22e8a373d811b82ed999a,0.4285714285714285,antirio,2.46351993299686,2022-07-16T03:20:43.670258,1,1.3545380200012005,7,4,True
1,62d22e8a373d811b82ed999a,1.0,enrique,2.46351993299686,2022-07-16T03:20:44.332597,2,1.3545380200012005,7,4,True
0,62d22f7b373d811b82ed9a19,0.3846153846153846,internamiento,2.655565846998797,2022-07-16T03:24:43.757874,1,1.452375774999382,13,6,True
1,62d22f7b373d811b82ed9a19,1.0,paramilitares,2.655565846998797,2022-07-16T03:24:44.513664,2,1.452375774999382,13,6,True
0,62d22f29373d811b82ed99df,0.3,contenidas,3.250836029998027,2022-07-16T03:23:22.612745,1,2.2519196050016035,10,4,True
1,62d22f29373d811b82ed99df,0.8,declarando,3.250836029998027,2022-07-16T03:23:23.392663,2,2.2519196050016035,10,4,True
2,62d22f29373d811b82ed99df,1.0,declararon,3.250836029998027,2022-07-16T03:23:24.112810,3,2.2519196050016035,10,4,True
0,62d22fa0373d811b82ed9a35,0.2,barry,2.4006554180014064,2022-07-16T03:25:20.731875,1,1.362966418000724,5,1,True
1,62d22fa0373d811b82ed9a35,1.0,trust,2.4006554180014064,2022-07-16T03:25:21.331893,2,1.362966418000724,5,1,True
0,62d22ec9373d811b82ed99c6,0.2,cotidianos,3.1153419530019164,2022-07-16T03:21:46.131576,1,2.04907295400335,10,5,True
1,62d22ec9373d811b82ed99c6,0.4,exhaustiva,3.1153419530019164,2022-07-16T03:21:46.868843,2,2.04907295400335,10,5,True
2,62d22ec9373d811b82ed99c6,1.0,paisajista,3.1153419530019164,2022-07-16T03:21:47.471786,3,2.04907295400335,10,5,True
0,62d22f85373d811b82ed9a21,0.3076923076923077,internamiento,3.227497406998737,2022-07-16T03:24:54.073658,1,2.1506885399976454,13,6,True
1,62d22f85373d811b82ed9a21,0.9230769230769232,latitudinales,3.227497406998737,2022-07-16T03:24:54.713721,2,2.1506885399976454,13,6,True
2,62d22f85373d811b82ed9a21,1.0,altitudinales,3.227497406998737,2022-07-16T03:24:55.453490,3,2.1506885399976454,13,6,True
0,62d22e83373d811b82ed9996,0.3333333333333333,copernicanas,2.605234000999189,2022-07-16T03:20:36.188126,1,1.4330420209989825,12,5,True
1,62d22e83373d811b82ed9996,1.0,constitutiva,2.605234000999189,2022-07-16T03:20:36.930745,2,1.4330420209989825,12,5,True
0,62d22b116dea7ef17803d2a6,0.2,cuida,5.869534778001253,2022-07-16T03:05:54.442866,1,2.149952753003163,5,3,True
1,62d22b116dea7ef17803d2a6,0.2,sirio,5.869534778001253,2022-07-16T03:05:55.102681,2,2.149952753003163,5,3,True
2,62d22b116dea7ef17803d2a6,1.0,logie,5.869534778001253,2022-07-16T03:05:55.802274,3,2.149952753003163,5,3,True
0,62d22f40373d811b82ed99f1,0.4285714285714285,camaras,3.898975739000889,2022-07-16T03:23:45.630391,1,2.866649564999534,7,3,True
1,62d22f40373d811b82ed99f1,0.5714285714285714,rurales,3.898975739000889,2022-07-16T03:23:46.432681,2,2.866649564999534,7,3,True
2,62d22f40373d811b82ed99f1,0.8571428571428571,ropajes,3.898975739000889,2022-07-16T03:23:47.152651,3,2.866649564999534,7,3,True
3,62d22f40373d811b82ed99f1,1.0,rodajes,3.898975739000889,2022-07-16T03:23:47.816138,4,2.866649564999534,7,3,True
0,62d22f80373d811b82ed9a1d,0.4,contenidas,2.5732340030008345,2022-07-16T03:24:48.816810,1,1.498231821002264,10,4,True
1,62d22f80373d811b82ed9a1d,1.0,chipriotas,2.5732340030008345,2022-07-16T03:24:49.633833,2,1.498231821002264,10,4,True
0,62d22fb8373d811b82ed9a42,0.4285714285714285,antirio,3.158120236999821,2022-07-16T03:25:45.334456,1,2.059480028001417,7,4,True
1,62d22fb8373d811b82ed9a42,0.4285714285714285,furioso,3.158120236999821,2022-07-16T03:25:46.016232,2,2.059480028001417,7,4,True
2,62d22fb8373d811b82ed9a42,1.0,residuo,3.158120236999821,2022-07-16T03:25:46.717991,3,2.059480028001417,7,4,True
0,62d22ed6373d811b82ed99d1,0.0,caras,4.212687151000864,2022-07-16T03:21:59.094798,1,2.8680624829976296,5,2,True
1,62d22ed6373d811b82ed99d1,0.6,ponen,4.212687151000864,2022-07-16T03:21:59.893393,2,2.8680624829976296,5,2,True
2,62d22ed6373d811b82ed99d1,0.6,pound,4.212687151000864,2022-07-16T03:22:00.531366,3,2.8680624829976296,5,2,True
3,62d22ed6373d811b82ed99d1,1.0,point,4.212687151000864,2022-07-16T03:22:01.248823,4,2.8680624829976296,5,2,True
0,62d22ebd373d811b82ed99bd,0.3333333333333333,cartas,3.067485059997125,2022-07-16T03:21:33.933523,1,2.047947922997992,6,2,True
1,62d22ebd373d811b82ed99bd,0.8333333333333334,tarzan,3.067485059997125,2022-07-16T03:21:34.633651,2,2.047947922997992,6,2,True
2,62d22ebd373d811b82ed99bd,1.0,tardan,3.067485059997125,2022-07-16T03:21:35.251094,3,2.047947922997992,6,2,True
0,62d22fd4373d811b82ed9a59,0.3333333333333333,retirados,3.540122726997652,2022-07-16T03:26:13.155144,1,2.4582590110003366,9,4,True
1,62d22fd4373d811b82ed9a59,0.8888888888888888,encargaba,3.540122726997652,2022-07-16T03:26:14.175200,2,2.4582590110003366,9,4,True
2,62d22fd4373d811b82ed9a59,1.0,encargara,3.540122726997652,2022-07-16T03:26:14.795271,3,2.4582590110003366,9,4,True
